name,url,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
jashkenas/backbone,https://github.com/jashkenas/backbone,2010-09-30T19:41:28Z,2025-04-01T11:14:31Z,JavaScript,881,0,2406,2364,98.25
NginxProxyManager/nginx-proxy-manager,https://github.com/NginxProxyManager/nginx-proxy-manager,2017-12-20T23:01:16Z,2025-08-20T00:57:28Z,JavaScript,526,77,2997,2085,69.57
swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui,2011-07-15T22:56:39Z,2025-08-19T09:59:46Z,JavaScript,3306,376,5636,4426,78.53
zhiwehu/Python-programming-exercises,https://github.com/zhiwehu/Python-programming-exercises,2012-06-14T07:56:46Z,2025-04-28T14:03:44Z,N/A,0,0,85,17,20.0
datalab-to/marker,https://github.com/datalab-to/marker,2023-10-30T20:14:08Z,2025-08-20T00:20:11Z,Python,195,62,556,291,52.34
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,2015-07-07T15:30:39Z,2025-08-19T18:31:23Z,Python,1636,127,2279,2264,99.34
mobxjs/mobx,https://github.com/mobxjs/mobx,2015-03-14T14:31:38Z,2025-06-15T19:59:49Z,TypeScript,1152,113,1971,1914,97.11
JedWatson/react-select,https://github.com/JedWatson/react-select,2014-08-26T04:27:45Z,2025-07-11T12:49:28Z,TypeScript,1054,61,3629,3249,89.53
nagadomi/waifu2x,https://github.com/nagadomi/waifu2x,2015-05-17T07:29:15Z,2023-05-04T00:50:48Z,Lua,68,3,368,216,58.7
aquasecurity/trivy,https://github.com/aquasecurity/trivy,2019-04-11T01:01:07Z,2025-08-20T06:41:27Z,Go,3179,171,2910,2750,94.5
ChartsOrg/Charts,https://github.com/ChartsOrg/Charts,2015-03-20T10:49:12Z,2025-05-13T04:45:38Z,Swift,427,38,4278,3388,79.2
lenve/vhr,https://github.com/lenve/vhr,2018-01-04T08:57:51Z,2024-11-25T00:07:39Z,Java,1,0,254,97,38.19
google/python-fire,https://github.com/google/python-fire,2017-02-21T21:35:07Z,2025-08-16T21:26:05Z,Python,135,12,332,207,62.35
frappe/erpnext,https://github.com/frappe/erpnext,2011-06-08T08:20:56Z,2025-08-20T11:51:52Z,Python,26436,1000,16765,14502,86.5
tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,2020-09-16T09:53:09Z,2025-07-30T14:03:47Z,TypeScript,619,127,1398,1288,92.13
